File Name,MD5 Signature,Compressed Size (bytes),Size (bytes)
BuiltInPlugins.zip,097159d54d1165d5f9a66b466eb30ffd,31888290,39715470
BuiltInStandalonePlugins.zip,620e0252fc0144d464327aef7fb2c084,4022458,5011384
Plugins.zip,93cf18c52dba91b4a0803c158b6e56a3,918765,2023744
Qml.zip,07ff0bf7c1fb6e78846e653e18689b73,3653678,8768545
StudioFonts.zip,6e7ba1be6bd9f0f8987bec0f5c29d5f2,275340,563776
RobloxStudio.zip,efa69dab0f53d36215b57d8ea1ae2ce5,32899778,70553094
Libraries.zip,b4d36e7b60d3ce58faea0bd4e9637435,7926956,19657192
LibrariesQt5.zip,fabf9497ca13edbc5bf6db33829d8e58,12741623,30366032
content-avatar.zip,6ac8e88b590398e1f6a0926c05c6665c,194530,931600
content-configs.zip,1b3f1dba904fff0979324224d9382d3a,13717,40229
content-fonts.zip,3d0832cd60961df22c74860ec79cf241,5699419,11635222
content-models.zip,3f47e1ca3801c6c6d4bd20e88816af70,173528,711179
content-qt_translations.zip,16a73623544b12b2a651b356515e0b72,431281,1458547
content-sky.zip,85d7c3fdb9deba31bd26adc749aced83,1071883,2906857
content-sounds.zip,1ca82b55023556317f7b94d755233a63,344428,363670
shaders.zip,7db5358a7bdc3f009b77d7879c24dba7,6212498,42921257
ssl.zip,86fbd63c52b399fc0d218f198c76b6b8,118562,207409
content-textures2.zip,c9619d901579572f59f265678baf1688,7143009,8024537
content-textures3.zip,432c1bd085bc1275cb8feada7243e6b2,28467988,46537508
content-terrain.zip,76d6582d45aa7cadb1654118f60e3175,31002108,42654892
content-platform-fonts.zip,8f379ec2b22ff106b837d79f7fdbf0d8,13686751,16427228
extracontent-scripts.zip,eb908326c0460dae4007da9b79fe44fe,1929491,5925822
extracontent-luapackages.zip,5b4c79c932c0386a80d7efd2dbac5d97,4559015,7702439
extracontent-translations.zip,885fe34a809217ed57c6bbadc3f1ee3e,114292,426279
extracontent-models.zip,31bcc0d9663be83a659dc3864f3e0387,2245036,2711157
extracontent-textures.zip,8b787be803f65daa225d0f0c7e32789e,6867681,6915876
redist.zip,8de9438568004f801e6cfadb687f5097,1501652,3514904